Cost_ID,Fiscal_Year,Region_Code,Lenovo_Band,Local_Currency,Daily_Rate_Local,Exchange_Rate,Daily_Rate_USD
5000,FY25,GZ,3,CNY,667.85,6.8157,97.99
5001,FY25,SZ,3,CNY,667.85,6.8157,97.99
5002,FY25,MY,3,MYR,285.95,4.09,69.91
5003,FY25,PH,3,USD,65.55,1.0,65.55
5004,FY25,HK,3,HKD,1375.6,7.8344,175.58
5005,FY25,SG,3,SGD,223.25,1.2712,175.62
5006,FY25,GZ,4,CNY,897.75,6.8157,131.72
5007,FY25,SZ,4,CNY,988.95,6.8157,145.1
5008,FY25,MY,4,MYR,526.3,4.09,128.68
5009,FY25,PH,4,USD,85.5,1.0,85.5
5010,FY25,HK,4,HKD,1553.25,7.8344,198.26
5011,FY25,SG,4,SGD,251.75,1.2712,198.04
5012,FY25,GZ,5,CNY,1130.5,6.8157,165.87
5013,FY25,SZ,5,CNY,1210.3,6.8157,177.58
5014,FY25,MY,5,MYR,563.35,4.09,137.74
5015,FY25,PH,5,USD,111.15,1.0,111.15
5016,FY25,HK,5,HKD,1669.15,7.8344,213.05
5017,FY25,SG,5,SGD,270.75,1.2712,212.99
5018,FY25,GZ,6,CNY,1387.95,6.8157,203.64
5019,FY25,SZ,6,CNY,1665.35,6.8157,244.34
5020,FY25,MY,6,MYR,710.6,4.09,173.74
5021,FY25,PH,6,USD,138.7,1.0,138.7
5022,FY25,HK,6,HKD,2387.35,7.8344,304.73
5023,FY25,SG,6,SGD,386.65,1.2712,304.16
5024,FY25,GZ,7,CNY,1820.2,6.8157,267.06
5025,FY25,SZ,7,CNY,2037.75,6.8157,298.98
5026,FY25,MY,7,MYR,980.4,4.09,239.71
5027,FY25,PH,7,USD,180.5,1.0,180.5
5028,FY25,HK,7,HKD,2823.4,7.8344,360.38
5029,FY25,SG,7,SGD,457.9,1.2712,360.21
5030,FY25,GZ,8,CNY,2466.2,6.8157,361.84
5031,FY25,SZ,8,CNY,2705.6,6.8157,396.97
5032,FY25,MY,8,MYR,1523.8,4.09,372.57
5033,FY25,PH,8,USD,298.3,1.0,298.3
5034,FY25,HK,8,HKD,4128.7,7.8344,527.0
5035,FY25,SG,8,SGD,669.75,1.2712,526.86
5036,FY26,GZ,3,CNY,703.0,6.8157,103.14
5037,FY26,SZ,3,CNY,703.0,6.8157,103.14
5038,FY26,MY,3,MYR,301.0,4.09,73.59
5039,FY26,PH,3,USD,69.0,1.0,69.0
5040,FY26,HK,3,HKD,1448.0,7.8344,184.83
5041,FY26,SG,3,SGD,235.0,1.2712,184.86
5042,FY26,GZ,4,CNY,945.0,6.8157,138.65
5043,FY26,SZ,4,CNY,1041.0,6.8157,152.74
5044,FY26,MY,4,MYR,554.0,4.09,135.45
